,Before Correlation,,,,,,,,After Correlation,,,,,,,,After Elastic Treatment Multiclass,,,,,,,,,After Elastic Treatment Binary,,,,,,,,,,After Elastic Recurrence,,,,,,,,
,nCNV,nSNV,nMETH,nMRNA,nMIRNA,nRPPA,,,nCNV,nSNV,nMETH,nMRNA,nMIRNA,nRPPA,,,nCNV,nSNV,nMETH,nMRNA,nMIRNA,nRPPA,alpha,l1Ratio,,,nCNV,nSNV,nMETH,nMRNA,nMIRNA,nRPPA,alpha,l1Ratio,,,nCNV,nSNV,nMETH,nMRNA,nMIRNA,nRPPA,alpha,l1Ratio
cnv,19729,0,0,0,0,0,,cnv,216,0,0,0,0,0,,cnv,24,0,0,0,0,0,0.01,0.9,,cnv,17,0,0,0,0,0,0.01,0.5,, cnv,17,0,0,0,0,0,0.01,0.5
snv,0,128755,0,0,0,0,,snv,0,691,0,0,0,0,,snv,0,36,0,0,0,0,0.01,0.9,,snv,0,2,0,0,0,0,0.01,0.9,, snv,0,5,0,0,0,0,0.01,0.7
meth,0,0,2404,0,0,0,,meth,0,0,1445,0,0,0,,meth,0,0,621,0,0,0,0.01,0.1,,meth,0,0,77,0,0,0,0.01,0.5,, meth,0,0,45,0,0,0,0.01,0.7
mRNA,0,0,0,1508,0,0,,mRNA,0,0,0,945,0,0,,mRNA,0,0,0,158,0,0,0.01,0.5,,mRNA,0,0,0,56,0,0,0.01,0.5,, mRNA,0,0,0,247,0,0,0.01,0.1
miRNA,0,0,0,0,27,0,,miRNA,0,0,0,0,24,0,,miRNA,0,0,0,0,24,0,0.01,0.1,,miRNA,0,0,0,0,22,0,0.01,0.1,, miRNA,0,0,0,0,21,0,0.01,0.1
rppa,0,0,0,0,0,456,,rppa,0,0,0,0,0,369,,rppa,0,0,0,0,0,267,0.01,0.1,,rppa,0,0,0,0,0,31,0.01,0.5,, rppa,0,0,0,0,0,19,0.01,0.5
cnv_snv,19729,128755,0,0,0,0,,cnv_snv,197,691,0,0,0,0,,cnv_snv,22,51,0,0,0,0,0.01,0.7,,cnv_snv,6,1,0,0,0,0,0.01,0.9,, cnv_snv,6,4,0,0,0,0,0.01,0.7
cnv_meth,19729,0,2404,0,0,0,,cnv_meth,216,0,1445,0,0,0,,cnv_meth,63,0,602,0,0,0,0.01,0.1,,cnv_meth,5,0,66,0,0,0,0.01,0.5,, cnv_meth,3,0,71,0,0,0,0.01,0.5
cnv_mRNA,19729,0,0,1508,0,0,,cnv_mRNA,208,0,0,945,0,0,,cnv_mRNA,107,0,0,483,0,0,0.01,0.1,,cnv_mRNA,10,0,0,50,0,0,0.01,0.5,, cnv_mRNA,71,0,0,218,0,0,0.01,0.1
cnv_miRNA,19729,0,0,0,27,0,,cnv_miRNA,216,0,0,0,24,0,,cnv_miRNA,18,0,0,0,8,0,0.01,0.9,,cnv_miRNA,125,0,0,0,21,0,0.01,0.1,, cnv_miRNA,107,0,0,0,21,0,0.01,0.1
cnv_rppa,19729,0,0,0,0,456,,cnv_rppa,216,0,0,0,0,369,,cnv_rppa,140,0,0,0,0,255,0.01,0.1,,cnv_rppa,13,0,0,0,0,30,0.01,0.5,, cnv_rppa,13,0,0,0,0,16,0.01,0.5
snv_meth,0,128755,2404,0,0,0,,snv_meth,0,674,1445,0,0,0,,snv_meth,0,176,561,0,0,0,0.01,0.1,,snv_meth,0,4,72,0,0,0,0.01,0.5,, snv_meth,0,5,68,0,0,0,0.01,0.5
snv_mRNA,0,128755,0,1508,0,0,,snv_mRNA,0,559,0,945,0,0,,snv_mRNA,0,250,0,454,0,0,0.01,0.1,,snv_mRNA,0,10,0,54,0,0,0.01,0.5,, snv_mRNA,0,176,0,183,0,0,0.01,0.1
snv_miRNA,0,128755,0,0,27,0,,snv_miRNA,0,688,0,0,24,0,,snv_miRNA,0,57,0,0,9,0,0.01,0.7,,snv_miRNA,0,2,0,0,3,0,0.01,0.9,, snv_miRNA,0,12,0,0,3,0,0.01,0.5
snv_rppa,0,128755,0,0,0,456,,snv_rppa,0,690,0,0,0,369,,snv_rppa,0,19,0,0,0,31,0.01,0.9,,snv_rppa,0,2,0,0,0,12,0.01,0.9,, snv_rppa,0,13,0,0,0,19,0.01,0.5
meth_mRNA,0,0,2404,1508,0,0,,meth_mRNA,0,0,1431,945,0,0,,meth_mRNA,0,0,516,268,0,0,0.01,0.1,,meth_mRNA,0,0,313,174,0,0,0.01,0.1,, meth_mRNA,0,0,338,100,0,0,0.01,0.1
meth_miRNA,0,0,2404,0,27,0,,meth_miRNA,0,0,1445,0,24,0,,meth_miRNA,0,0,589,0,0,128,0.01,0.1,,meth_miRNA,0,0,73,0,0,10,0.01,0.5,, meth_miRNA,0,0,45,0,0,0,0.01,0.7
meth_rppa,0,0,2404,0,0,456,,meth_rppa,0,0,1445,0,0,369,,meth_rppa,0,0,589,0,0,128,0.01,0.1,,meth_rppa,0,0,73,0,0,10,0.01,0.5,, meth_rppa,0,0,45,0,0,0,0.01,0.7
mRNA_miRNA,0,0,0,1508,27,0,,mRNA_miRNA,0,0,0,942,24,0,,mRNA_miRNA,0,0,0,149,6,0,0.01,0.5,,mRNA_miRNA,0,0,0,53,3,0,0.01,0.5,, mRNA_miRNA,0,0,0,242,15,0,0.01,0.1
mRNA_rppa,0,0,0,1508,0,456,,mRNA_rppa,0,0,0,945,0,369,,mRNA_rppa,0,0,0,129,0,49,0.01,0.5,,mRNA_rppa,0,0,0,51,0,15,0.01,0.5,, mRNA_rppa,0,0,0,34,0,15,0.01,0.5
miRNA_rppa,0,0,0,0,27,456,,miRNA_rppa,0,0,0,0,24,369,,miRNA_rppa,0,0,0,0,17,261,0.01,0.1,,miRNA_rppa,0,0,0,0,4,28,0.01,0.5,, miRNA_rppa,0,0,0,0,1,18,0.01,0.5
cnv_snv_meth,19729,128755,2404,0,0,0,,cnv_snv_meth,197,674,1445,0,0,0,,cnv_snv_meth,60,152,549,0,0,0,0.01,0.1,,cnv_snv_meth,5,5,71,0,0,0,0.01,0.5,, cnv_snv_meth,3,5,65,0,0,0,0.01,0.5
cnv_snv_mRNA,19729,128755,0,1508,0,0,,cnv_snv_mRNA,197,559,0,945,0,0,,cnv_snv_mRNA,87,236,0,410,0,0,0.01,0.1,,cnv_snv_mRNA,9,10,0,48,0,0,0.01,0.5,, cnv_snv_mRNA,52,151,0,176,0,0,0.01,0.1
cnv_snv_miRNA,19729,128755,0,0,27,0,,cnv_snv_miRNA,197,688,0,0,24,0,,cnv_snv_miRNA,17,47,0,0,8,0,0.01,0.7,,cnv_snv_miRNA,8,8,0,0,3,0,0.01,0.7,, cnv_snv_miRNA,15,10,0,0,1,0,0.01,0.5
cnv_snv_rppa,19729,128755,0,0,0,456,,cnv_snv_rppa,197,690,0,0,0,369,,cnv_snv_rppa,12,19,0,0,0,28,0.01,0.9,,cnv_snv_rppa,4,2,0,0,0,10,0.01,0.9,, cnv_snv_rppa,14,12,0,0,0,19,0.01,0.5
cnv_meth_mRNA,19729,0,2404,1508,0,0,,cnv_meth_mRNA,208,0,1431,945,0,0,,cnv_meth_mRNA,46,0,486,241,0,0,0.01,0.1,,cnv_meth_mRNA,26,0,297,151,0,0,0.01,0.1,, cnv_meth_mRNA,26,0,318,96,0,0,0.01,0.1
